Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,D_SO_upwelling,SO_D_downwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight,DO_log10Kvert,DO_mixLscale,DO_D_upwelling,D_DO_downwelling
1,42.17973769,6.172136891,7.752414876,21.23120535,14.66660474,22.20478111,0.000127053,-2.828707745,1,0.000896259,0.000815606,0.05903024,0.096906647,0.003075847,0.000342103,0.021258508,0.005216249,0.098533752,0.293564683,0.304599847,0.074105561,0.284547346,1.242867887,-4.904086142,0.9,0.000896259,0.000815606
2,42.59987038,6.153026269,7.78845875,22.01587602,14.79337963,23.306062,9.57E-05,-2.872249858,1,0.000897598,0.000782761,0.055257642,0.096896284,0.002072185,0.000307765,0.019808311,0.007837671,0.143470292,0.344668454,0.445246916,0.138881617,0.42813289,1.225406969,-4.290323583,0.9,0.000897598,0.000782761
3,36.6246637,6.194496591,8.065373123,22.5057847,15.00418651,23.58922103,7.88E-05,-2.88016219,1,0.00097503,0.000645024,0.052335692,0.098853572,0.002924326,0.00026819,0.01998098,0.002235005,0.083162995,0.286843353,0.308715081,0.075980507,0.274971257,1.400209594,-4.928011519,0.9,0.00097503,0.000645024
4,30.71867889,6.207043378,7.98898815,22.40029933,15.15085737,23.14583581,6.55E-05,-2.638012804,0.884163508,0.001011804,0.000545288,0.049702937,0.093873534,0.002451308,0.000301607,0.020025727,0.00278969,0.091134946,0.297680145,0.331806624,0.07672352,0.292870468,1.353945589,-4.929025889,0.9,0.001011804,0.000545288
5,22.80126504,6.345121772,8.213982613,21.3775784,15.16214971,21.725447,6.09E-05,-2.066033346,0.607671289,0.001043466,0.000557002,0.046064778,0.082187084,0.002721365,0.000917584,0.024592695,0.004711779,0.094910497,0.290488292,0.306757995,0.071277761,0.295702245,1.519346893,-4.128039753,0.9,0.001043466,0.000557002
6,19.08743696,6.474485812,8.354293954,19.77687228,14.91992726,19.76387513,6.74E-05,-1.850957556,0.446021763,0.001105355,0.000774635,0.050473728,0.079800573,0.002903464,0.000699834,0.024612687,0.002239917,0.084553449,0.281588432,0.276102045,0.061037162,0.276566876,1.394399071,-3.835805852,0.9,0.001105355,0.000774635
7,18.98540727,6.504535448,8.289313216,18.44936007,14.5609895,18.14877065,7.39E-05,-1.78185135,0.411451011,0.001063474,0.001216565,0.057628148,0.0857483,0.003549535,0.000297997,0.024600123,0.002813224,0.07780049,0.265004426,0.298498738,0.067281772,0.277904309,1.444633627,-3.570351225,0.9,0.001063474,0.001216565
8,23.22293555,6.432412912,8.458162886,17.90423864,14.31499632,17.54706117,9.11E-05,-1.825785548,0.476442673,0.000903118,0.001193741,0.058989578,0.087973719,0.004243485,0.000149416,0.026294482,0.001986794,0.076396628,0.271803049,0.306983277,0.072240265,0.276883161,1.578651428,-3.837926916,0.9,0.000903118,0.001193741
9,26.16301743,6.28374933,8.351075866,17.64616493,14.20973171,17.39428771,0.000103591,-1.891059293,0.639261454,0.000967359,0.001173898,0.062409985,0.091595607,0.003912994,0.000254763,0.025683941,0.005587776,0.104770991,0.310136513,0.344187478,0.087935106,0.31968123,1.572026432,-4.277798465,0.9,0.000967359,0.001173898
10,31.57895656,6.213747008,8.171330074,18.02472397,14.21485258,18.02898041,0.000144641,-2.031748978,0.922987598,0.000967918,0.001193408,0.063744965,0.094962603,0.004429993,9.55E-05,0.025073669,0.006933549,0.101448758,0.300786186,0.338287409,0.085928381,0.299492568,1.543385923,-3.50032881,0.9,0.000967918,0.001193408
11,37.89681384,6.232785641,8.037057381,19.00422029,14.30607072,19.36584158,0.000151389,-2.446964309,1,0.000985101,0.001024703,0.06472653,0.101335588,0.00478075,0.00013045,0.023617934,0.008056161,0.119043914,0.316055049,0.342163398,0.087394471,0.326222597,1.454412115,-3.914939981,0.9,0.000985101,0.001024703
12,40.88317161,6.207679753,7.866799093,20.22991332,14.52614388,20.84282815,0.000138648,-2.621486806,1,0.000874764,0.00101568,0.061799333,0.100737093,0.004566359,0.000158843,0.022816547,0.009033569,0.138671086,0.335815138,0.354703304,0.107539811,0.344904245,1.288159084,-4.124599044,0.9,0.000874764,0.00101568
